action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'ruca', 'p': 105.09020440670557, 'v_ref': 18.0, 'v_cmd': 18.0, 'branch': 'NA', 'cold_start': True, 'dV': 0.0, 'dI': 0.0, 'dP': 0.0, 'sgn': 0.0, 'step': 0.0, 'state': 'NORMAL'}",,18.0,0.001,1000.0,5.838344689261421,105.09020440670557,0.0,25.0,18.0
"{'algo': 'ruca', 'p': 105.09020440670557, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': 0.0, 'dI': 0.0, 'dP': 0.0, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838344689261421,105.09020440670557,0.001,25.0,18.0
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4900612650167204e-07, 'dP': -0.023345298442791318, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.002,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.004,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.005,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.006,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.007,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.008,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.009000000000000001,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.010000000000000002,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.011000000000000003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.012000000000000004,25.0,17.996
